date    open  close      volume
                                    
2013-01-02  41.510  41.69   2756400.0
2013-01-03  41.620  41.79   1760800.0
2013-01-04  42.050  42.45   2363300.0
2013-01-07  42.450  42.43   2209000.0
2013-01-08  42.350  42.43   1968200.0
2013-01-09  42.460  42.64   1372600.0
2013-01-10  42.740  42.99   1648100.0
2013-01-11  43.060  43.06   2362700.0
2013-01-14  43.030  43.19   1299100.0
2013-01-15  43.110  43.49   1926500.0
2013-01-16  43.350  43.73   2719700.0
2013-01-17  43.840  44.16   3146700.0
2013-01-18  44.240  44.64   3904400.0
2013-01-22  44.600  44.57   2186500.0
2013-01-23  44.490  45.06   3470500.0
2013-01-24  45.110  44.73   4091200.0
2013-01-25  44.820  44.90   2184100.0
2013-01-28  44.910  44.64   2689100.0
2013-01-29  44.630  44.98   2244900.0
2013-01-30  44.890  44.68   1769600.0
2013-01-31  44.660  43.81   5326100.0
2013-02-01  44.130  43.88   4279300.0
2013-02-04  43.880  43.66   3145300.0
2013-02-05  44.810  44.68   3930800.0
2013-02-06  44.700  44.20   3369000.0
2013-02-07  44.280  44.79   4027700.0
2013-02-08  44.900  45.18   1877900.0
2013-02-11  45.140  45.22   1616800.0
2013-02-12  45.300  45.54   2351500.0
2013-02-13  45.720  45.44   2776800.0
2013-02-14  46.720  46.00   4641600.0
2013-02-15  46.050  46.70   5181100.0
2013-02-19  46.550  46.46   2971500.0
2013-02-20  46.500  46.07   1842800.0
2013-02-21  46.110  45.48   2767200.0
2013-02-22  45.540  45.56   2078400.0
2013-02-25  45.740  45.22   2378800.0
2013-02-26  45.440  45.69   2048600.0
2013-02-27  45.730  46.26   1899200.0
2013-02-28  46.210  46.21   1786100.0
2013-03-01  46.170  46.51   1425400.0
2013-03-04  46.360  46.25   1906700.0
2013-03-05  46.340  46.28   1988800.0
2013-03-06  46.350  46.12   1814900.0
2013-03-07  46.240  45.89   2677800.0
2013-03-08  46.000  46.28   1903700.0
2013-03-11  46.260  46.78   1718400.0
2013-03-12  46.800  46.83   1912900.0
2013-03-13  46.810  46.84   2453600.0
2013-03-14  46.870  47.09   2555700.0
2013-03-15  46.900  46.58   2481700.0
2013-03-18  46.310  46.13   2374200.0
2013-03-19  42.940  42.35  18457600.0
2013-03-20  42.330  42.14   7252100.0
2013-03-21  41.990  41.97   8533200.0
2013-03-22  41.970  42.09   7759800.0
2013-03-25  42.090  42.05   6005900.0
2013-03-26  42.320  42.18   5047100.0
2013-03-27  41.710  41.71   6042600.0
2013-03-28  41.750  41.62   6387700.0
2013-04-01  41.690  41.85   3285600.0
2013-04-02  42.040  42.05   4994200.0
2013-04-03  42.170  42.38   6604100.0
2013-04-04  42.510  42.53   4477900.0
2013-04-05  42.270  42.45   5293800.0
2013-04-08  42.430  42.77   3167300.0
2013-04-09  42.880  42.88   2796800.0
2013-04-10  43.010  42.95   3227900.0
2013-04-11  43.080  43.50   2701300.0
2013-04-12  43.360  43.27   1587700.0
2013-04-15  43.420  43.01   3087800.0
2013-04-16  43.180  43.12   2857600.0
2013-04-17  43.000  42.59   1958800.0
2013-04-18  42.580  42.70   2052900.0
2013-04-19  42.820  43.07   3347100.0
2013-04-22  43.150  43.38   2187200.0
2013-04-23  43.570  43.80   2494800.0
2013-04-24  43.920  44.39   2942500.0
2013-04-25  45.560  44.22   7001700.0
2013-04-26  44.210  43.98   3721700.0
2013-04-29  44.020  44.00   1981800.0
2013-04-30  44.080  44.22   3740900.0
2013-05-01  44.220  43.94   4496200.0
2013-05-02  44.500  46.16   5095900.0
2013-05-03  46.390  46.39   2763900.0
2013-05-06  46.050  45.96   2824800.0
2013-05-07  45.970  46.45   2258200.0
2013-05-08  46.370  46.37   4293200.0
2013-05-09  46.420  46.03   2176400.0
2013-05-10  46.030  46.36   1707600.0
2013-05-13  46.460  46.16   1257900.0
2013-05-14  46.100  46.26   2676600.0
2013-05-15  46.320  46.77   2388600.0
2013-05-16  46.870  47.00   5242400.0
2013-05-17  47.030  47.79   5085200.0
2013-05-20  47.700  48.02   2409300.0
2013-05-21  48.090  47.96   3428500.0
2013-05-22  48.000  47.59   3866200.0
2013-05-23  47.310  47.17   2660300.0
