date    open   close      volume
                                     
2013-01-02   77.88   78.64    344700.0
2013-01-03   78.79   79.15    241300.0
2013-01-04   79.42   80.60    341400.0
2013-01-07   80.17   80.29    241400.0
2013-01-08   80.07   79.20    362400.0
2013-01-09   79.20   78.74    308200.0
2013-01-10   78.90   78.74    263000.0
2013-01-11   78.90   78.78    549000.0
2013-01-14   78.91   78.51    262200.0
2013-01-15   78.41   78.72    252500.0
2013-01-16   78.52   76.72    564600.0
2013-01-17   76.89   77.06    469600.0
2013-01-18   76.98   78.09    182300.0
2013-01-22   78.24   79.59    553200.0
2013-01-23   79.71   78.92    224400.0
2013-01-24   79.00   79.22    329800.0
2013-01-25   79.29   79.59    194300.0
2013-01-28   79.44   79.52    152500.0
2013-01-29   79.46   79.85    244800.0
2013-01-30   79.78   80.05    388300.0
2013-01-31   79.84   81.00    164500.0
2013-02-01   81.60   82.27    346100.0
2013-02-04   81.93   81.25    277900.0
2013-02-05   81.65   81.70    184800.0
2013-02-06   81.57   82.56    194000.0
2013-02-07   82.47   81.63    303800.0
2013-02-08   81.78   81.42    185200.0
2013-02-11   81.47   81.67    108400.0
2013-02-12   81.20   81.80    142600.0
2013-02-13   81.57   81.37    140200.0
2013-02-14   81.01   80.80    266900.0
2013-02-15   80.94   81.02    263800.0
2013-02-19   81.13   81.61    284700.0
2013-02-20   81.37   81.76    185300.0
2013-02-21   81.66   81.15    210600.0
2013-02-22   81.50   82.11    133000.0
2013-02-25   82.31   81.56    220900.0
2013-02-26   81.96   82.50    216600.0
2013-02-27   83.28   83.36    404500.0
2013-02-28   83.55   84.52    341800.0
2013-03-01   84.30   84.01    365300.0
2013-03-04   83.96   85.50    247100.0
2013-03-05   85.63   86.83    253200.0
2013-03-06   86.78   85.72    302300.0
2013-03-07   85.85   85.51    175900.0
2013-03-08   85.74   85.99    230500.0
2013-03-11   85.91   86.16    184300.0
2013-03-12   86.25   85.75    214500.0
2013-03-13   85.62   86.59    125500.0
2013-03-14   86.88   86.36    240800.0
2013-03-15   86.19   86.14    279800.0
2013-03-18   85.61   85.67    170500.0
2013-03-19   85.78   85.45    202200.0
2013-03-20   85.79   85.89    153700.0
2013-03-21   85.86   86.29    313400.0
2013-03-22   86.50   86.42    113700.0
2013-03-25   86.83   87.28    405300.0
2013-03-26   87.34   88.02    250100.0
2013-03-27   87.81   88.22    161800.0
2013-03-28   88.43   89.26    181900.0
2013-04-01   89.35   89.52    239900.0
2013-04-02   89.65   89.86    288100.0
2013-04-03   89.90   89.20    184500.0
2013-04-04   89.35   89.82    143500.0
2013-04-05   89.08   90.37    108600.0
2013-04-08   90.51   91.79    118400.0
2013-04-09   91.59   91.87    238900.0
2013-04-10   92.11   92.45    220100.0
2013-04-11   92.73   92.12    293300.0
2013-04-12   92.06   92.50    342700.0
2013-04-15   92.50   90.46    169500.0
2013-04-16   91.37   92.01    233900.0
2013-04-17   90.26   90.07    587800.0
2013-04-18   90.00   89.19    539100.0
2013-04-19   89.08   89.67    482800.0
2013-04-22   89.75   90.06    265600.0
2013-04-23   90.44   90.07    316200.0
2013-04-24   90.17   90.30    303300.0
2013-04-25   90.38   90.30    344600.0
2013-04-26   90.20   90.02    354400.0
2013-04-29   90.37   91.65    216400.0
2013-04-30   91.59   92.22    271400.0
2013-05-01   92.05   90.94    323100.0
2013-05-02   90.99   90.17    234500.0
2013-05-03   90.54   90.51    222400.0
2013-05-06   90.51   89.47    138700.0
2013-05-07   89.46   89.87    155000.0
2013-05-08   89.92   89.37    191100.0
2013-05-09   89.16   87.61    195300.0
2013-05-10   87.68   86.26    606900.0
2013-05-13   86.16   87.04    331300.0
2013-05-14   87.17   87.93    137200.0
2013-05-15   87.81   89.44    257400.0
2013-05-16   89.21   89.46    261200.0
2013-05-17   89.48   90.14    194200.0
2013-05-20   90.09   90.13    228100.0
2013-05-21   90.04   90.84    265900.0
2013-05-22   90.69   89.28    218800.0
2013-05-23   88.41   88.67    165100.0
2013-05-24   88.26   88.03    258900.0
2013-05-28   88.34   89.00    219200.0
2013-05-29   88.54   86.72    379600.0
2013-05-30   86.83   87.46    223400.0
