date     open   close      volume
                                      
2014-10-06   74.620   74.51   4787701.0
2014-10-07   74.100   72.94   5842069.0
2014-10-08   72.750   74.06   4120848.0
2014-10-09   73.980   71.83   5791137.0
2014-10-10   71.800   70.50   5981724.0
2014-10-13   70.590   69.78   6041692.0
2014-10-14   70.040   71.00   8181181.0
2014-10-15   69.960   71.30  11601993.0
2014-10-16   70.080   70.86   9417977.0
2014-10-17   71.700   71.56   5888523.0
2014-10-20   71.210   72.04   3281644.0
2014-10-21   72.870   74.16   4556389.0
2014-10-22   74.110   73.22   4155495.0
2014-10-23   74.100   74.09   3604101.0
2014-10-24   73.840   74.00   3374394.0
2014-10-27   74.000   74.11   3407745.0
2014-10-28   74.540   76.00   4998990.0
2014-10-29   76.190   75.99   6213468.0
2014-10-30   78.350   83.13  16288278.0
2014-10-31   83.210   83.75  11664880.0
2014-11-03   83.820   84.13   6661323.0
2014-11-04   83.860   83.99   5977170.0
2014-11-05   84.500   85.99   7997267.0
2014-11-06   86.000   85.75   5147915.0
2014-11-07   85.940   84.80   4925988.0
2014-11-10   84.720   84.85   4525125.0
2014-11-11   84.980   84.59   2679887.0
2014-11-12   83.760   84.35   3121078.0
2014-11-13   84.540   84.20   3096547.0
2014-11-14   84.320   84.05   2224064.0
2014-11-17   83.800   83.20   3368412.0
2014-11-18   83.250   83.90   3142917.0
2014-11-19   83.700   84.28   2500987.0
2014-11-20   83.500   84.60   3452204.0
2014-11-21   85.740   84.72   4969098.0
2014-11-24   84.820   84.99   3926719.0
2014-11-25   85.100   86.34   5623367.0
2014-11-26   86.260   86.56   3328218.0
2014-11-28   87.000   87.29   2452793.0
2014-12-01   86.560   87.46   4989800.0
2014-12-02   87.910   87.69   5458315.0
2014-12-03   88.210   88.32   6086291.0
2014-12-04   88.380   88.77   3528011.0
2014-12-05   89.870   89.08   3739922.0
2014-12-08   89.040   88.04   4473905.0
2014-12-09   86.570   87.84   3741436.0
2014-12-10   87.530   86.33   3284872.0
2014-12-11   86.760   87.69   4078365.0
2014-12-12   86.570   84.13   6646104.0
2014-12-15   85.140   84.61   4922381.0
2014-12-16   83.720   82.64   6970168.0
2014-12-17   82.790   84.73   6443747.0
2014-12-18   86.120   86.92   6441859.0
2014-12-19   86.980   86.44   6261959.0
2014-12-22   86.750   86.83   2561646.0
2014-12-23   87.460   87.63   2750285.0
2014-12-24   87.700   87.77   1220002.0
2014-12-26   87.900   87.77   1508390.0
2014-12-29   87.640   87.68   2376172.0
2014-12-30   87.350   86.97   2493320.0
2014-12-31   87.180   86.16   2861699.0
2015-01-02   86.680   85.68   4506275.0
2015-01-05   85.290   83.27   6441396.0
2015-01-06   83.660   83.09   7691433.0
2015-01-07   84.100   84.22   5846772.0
2015-01-08   85.190   85.53   5174184.0
2015-01-09   85.970   84.44   4536254.0
2015-01-12   84.410   83.36   4030040.0
2015-01-13   84.090   83.55   4226063.0
2015-01-14   82.000   83.46   5084072.0
2015-01-15   83.800   82.25   4329368.0
2015-01-16   82.050   83.80   4763712.0
2015-01-20   84.390   84.26   3540754.0
2015-01-21   83.780   83.72   3598443.0
2015-01-22   83.360   84.38   4795404.0
2015-01-23   84.280   84.39   5011943.0
2015-01-26   84.300   83.60   5440279.0
2015-01-27   82.610   81.77   5486658.0
2015-01-28   83.330   80.74   5067286.0
2015-01-29   80.300   81.38   6265120.0
2015-01-30   84.030   82.03  13330350.0
2015-02-02   81.710   82.98  10575694.0
2015-02-03   83.280   83.81   8490396.0
2015-02-04   83.920   84.18   4924208.0
2015-02-05   84.580   85.82   5426362.0
2015-02-06   85.620   84.16   5540935.0
2015-02-09   83.970   84.59   3951054.0
2015-02-10   85.170   84.23   4441832.0
2015-02-11   84.230   84.46   4051289.0
2015-02-12   85.430   87.52   7053465.0
2015-02-13   87.830   87.14   5511343.0
2015-02-17   87.930   87.52   5083403.0
2015-02-18   87.190   87.73   2974048.0
2015-02-19   87.640   89.20   5271348.0
2015-02-20   89.020   90.79   6276039.0
2015-02-23   90.920   91.12   4316288.0
2015-02-24   90.550   91.32   5547506.0
2015-02-25   92.050   92.67   6144401.0
2015-02-26   92.890   91.26   5665465.0
2015-02-27   91.010   90.13   4674898.0
2015-03-02   89.560   92.02   5567912.0
2015-03-03   91.900   90.97   3443717.0
2015-03-04   90.640   91.71   4734532.0
2015-03-05   92.000   92.81   4651263.0
2015-03-06   92.510   90.79   4963213.0
2015-03-09   90.520   91.12   4145635.0
2015-03-10   90.180   88.84   5050244.0
